File_Path,File,Commit_Count
administrator/components/com_admin/sql/updates/mysql/4.0.0-2018-03-05.sql,4.0.0-2018-03-05,7
administrator/components/com_admin/sql/updates/mysql/4.0.0-2018-05-15.sql,4.0.0-2018-05-15,36
administrator/components/com_admin/sql/updates/mysql/4.0.0-2018-07-19.sql,4.0.0-2018-07-19,10
administrator/components/com_admin/sql/updates/mysql/4.0.0-2018-07-29.sql,4.0.0-2018-07-29,15
administrator/components/com_admin/sql/updates/mysql/4.0.0-2018-08-29.sql,4.0.0-2018-08-29,6
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-03-09.sql,4.0.0-2019-03-09,8
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-03-30.sql,4.0.0-2019-03-30,5
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-04-15.sql,4.0.0-2019-04-15,4
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-04-22.sql,4.0.0-2019-04-22,5
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-05-20.sql,4.0.0-2019-05-20,5
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-06-29.sql,4.0.0-2019-06-29,6
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-07-13.sql,4.0.0-2019-07-13,9
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-09-13.sql,4.0.0-2019-09-13,6
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-09-22.sql,4.0.0-2019-09-22,2
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-10-06.sql,4.0.0-2019-10-06,2
administrator/components/com_admin/sql/updates/mysql/4.0.0-2019-10-17.sql,4.0.0-2019-10-17,3
administrator/components/com_admin/sql/updates/mysql/4.0.0-2020-02-02.sql,4.0.0-2020-02-02,2
administrator/components/com_admin/sql/updates/mysql/4.0.0-2020-03-10.sql,4.0.0-2020-03-10,3
administrator/components/com_admin/sql/updates/mysql/4.0.0-2020-03-25.sql,4.0.0-2020-03-25,8
administrator/components/com_admin/sql/updates/mysql/4.0.0-2020-05-29.sql,4.0.0-2020-05-29,7
administrator/components/com_admin/sql/updates/mysql/4.0.0-2020-09-27.sql,4.0.0-2020-09-27,5
administrator/components/com_admin/sql/updates/mysql/4.0.0-2020-12-20.sql,4.0.0-2020-12-20,6
administrator/components/com_admin/sql/updates/mysql/4.0.0-2021-04-22.sql,4.0.0-2021-04-22,5
administrator/components/com_admin/sql/updates/mysql/4.0.0-2021-04-27.sql,4.0.0-2021-04-27,1
administrator/components/com_admin/sql/updates/mysql/4.0.0-2021-05-30.sql,4.0.0-2021-05-30,4
administrator/components/com_admin/sql/updates/mysql/4.0.0-2021-06-04.sql,4.0.0-2021-06-04,1
administrator/components/com_admin/sql/updates/mysql/4.0.0-2021-08-13.sql,4.0.0-2021-08-13,1
administrator/components/com_admin/sql/updates/mysql/4.0.0-2021-08-17.sql,4.0.0-2021-08-17,2
administrator/components/com_admin/sql/updates/mysql/4.0.3-2021-09-04.sql,4.0.3-2021-09-04,1
administrator/components/com_admin/sql/updates/mysql/4.0.3-2021-09-05.sql,4.0.3-2021-09-05,1
administrator/components/com_admin/sql/updates/mysql/4.0.6-2021-12-23.sql,4.0.6-2021-12-23,1
administrator/components/com_admin/sql/updates/mysql/4.1.0-2021-11-20.sql,4.1.0-2021-11-20,5
administrator/components/com_admin/sql/updates/mysql/4.1.0-2021-11-28.sql,4.1.0-2021-11-28,1
administrator/components/com_admin/sql/updates/mysql/4.1.0-2021-12-29.sql,4.1.0-2021-12-29,1
administrator/components/com_admin/sql/updates/mysql/4.1.0-2022-01-08.sql,4.1.0-2022-01-08,1
administrator/components/com_admin/sql/updates/mysql/4.1.0-2022-01-19.sql,4.1.0-2022-01-19,1
administrator/components/com_admin/sql/updates/mysql/4.1.0-2022-01-24.sql,4.1.0-2022-01-24,4
administrator/components/com_admin/sql/updates/mysql/4.1.1-2022-02-20.sql,4.1.1-2022-02-20,1
administrator/components/com_admin/sql/updates/mysql/4.1.3-2022-04-07.sql,4.1.3-2022-04-07,1
administrator/components/com_admin/sql/updates/mysql/4.1.3-2022-04-08.sql,4.1.3-2022-04-08,1
administrator/components/com_admin/sql/updates/mysql/4.2.0-2022-05-15.sql,4.2.0-2022-05-15,1
administrator/components/com_admin/sql/updates/mysql/4.2.0-2022-06-15.sql,4.2.0-2022-06-15,1
administrator/components/com_admin/sql/updates/mysql/4.2.0-2022-06-19.sql,4.2.0-2022-06-19,1
administrator/components/com_admin/sql/updates/mysql/4.2.0-2022-06-22.sql,4.2.0-2022-06-22,1
administrator/components/com_admin/sql/updates/mysql/4.2.0-2022-07-07.sql,4.2.0-2022-07-07,3
administrator/components/com_admin/sql/updates/mysql/4.2.1-2022-08-23.sql,4.2.1-2022-08-23,1
administrator/components/com_admin/sql/updates/mysql/4.2.3-2022-09-07.sql,4.2.3-2022-09-07,1
administrator/components/com_admin/sql/updates/mysql/4.2.7-2022-12-29.sql,4.2.7-2022-12-29,1
administrator/components/com_admin/sql/updates/mysql/4.2.9-2023-03-07.sql,4.2.9-2023-03-07,1
administrator/components/com_admin/sql/updates/mysql/4.3.0-2022-09-23.sql,4.3.0-2022-09-23,2
administrator/components/com_admin/sql/updates/mysql/4.3.0-2022-11-06.sql,4.3.0-2022-11-06,1
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-01-30.sql,4.3.0-2023-01-30,1
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-02-15.sql,4.3.0-2023-02-15,9
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-02-25.sql,4.3.0-2023-02-25,1
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-03-07.sql,4.3.0-2023-03-07,1
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-03-09.sql,4.3.0-2023-03-09,1
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-03-10.sql,4.3.0-2023-03-10,1
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-03-28.sql,4.3.0-2023-03-28,2
administrator/components/com_admin/sql/updates/mysql/4.3.0-2023-03-29.sql,4.3.0-2023-03-29,1
administrator/components/com_admin/sql/updates/mysql/4.3.2-2023-03-31.sql,4.3.2-2023-03-31,1
administrator/components/com_admin/sql/updates/mysql/4.3.2-2023-05-03.sql,4.3.2-2023-05-03,1
administrator/components/com_admin/sql/updates/mysql/4.3.2-2023-05-20.sql,4.3.2-2023-05-20,1
administrator/components/com_admin/sql/updates/mysql/4.4.0-2023-05-08.sql,4.4.0-2023-05-08,1
administrator/components/com_admin/sql/updates/mysql/4.4.0-2023-09-13.sql,4.4.0-2023-09-13,1
