File Name,Table_Count,Table_Names
joomla_4.0.0-2018-02-24_mod.sql,72,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms0`', '`finder_links_terms1`', '`finder_links_terms2`', '`finder_links_terms3`', '`finder_links_terms4`', '`finder_links_terms5`', '`finder_links_terms6`', '`finder_links_terms7`', '`finder_links_terms8`', '`finder_links_terms9`', '`finder_links_termsa`', '`finder_links_termsb`', '`finder_links_termsc`', '`finder_links_termsd`', '`finder_links_termse`', '`finder_links_termsf`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`']"
joomla_4.0.0-2018-03-05_mod.sql,72,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms0`', '`finder_links_terms1`', '`finder_links_terms2`', '`finder_links_terms3`', '`finder_links_terms4`', '`finder_links_terms5`', '`finder_links_terms6`', '`finder_links_terms7`', '`finder_links_terms8`', '`finder_links_terms9`', '`finder_links_termsa`', '`finder_links_termsb`', '`finder_links_termsc`', '`finder_links_termsd`', '`finder_links_termse`', '`finder_links_termsf`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`']"
joomla_4.0.0-2018-05-15_mod.sql,76,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms0`', '`finder_links_terms1`', '`finder_links_terms2`', '`finder_links_terms3`', '`finder_links_terms4`', '`finder_links_terms5`', '`finder_links_terms6`', '`finder_links_terms7`', '`finder_links_terms8`', '`finder_links_terms9`', '`finder_links_termsa`', '`finder_links_termsb`', '`finder_links_termsc`', '`finder_links_termsd`', '`finder_links_termse`', '`finder_links_termsf`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
joomla_4.0.0-2018-07-19_mod.sql,77,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms0`', '`finder_links_terms1`', '`finder_links_terms2`', '`finder_links_terms3`', '`finder_links_terms4`', '`finder_links_terms5`', '`finder_links_terms6`', '`finder_links_terms7`', '`finder_links_terms8`', '`finder_links_terms9`', '`finder_links_termsa`', '`finder_links_termsb`', '`finder_links_termsc`', '`finder_links_termsd`', '`finder_links_termse`', '`finder_links_termsf`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_overrides`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
joomla_4.0.0-2018-07-29_mod.sql,63,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms`', '`finder_logging`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_overrides`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
joomla_4.0.0-2018-08-29_mod.sql,63,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms`', '`finder_logging`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_overrides`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
joomla_4.0.0-2019-03-09_mod.sql,64,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms`', '`finder_logging`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`mail_templates`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_overrides`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
joomla_4.0.0-2019-03-30_mod.sql,64,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms`', '`finder_logging`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`mail_templates`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_overrides`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
joomla_4.0.0-2019-04-15_mod.sql,64,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms`', '`finder_logging`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`mail_templates`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_overrides`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
joomla_4.0.0-2019-04-22_mod.sql,64,"['`assets`', '`associations`', '`banner_clients`', '`banner_tracks`', '`banners`', '`categories`', '`contact_details`', '`content`', '`content_frontpage`', '`content_rating`', '`content_types`', '`contentitem_tag_map`', '`core_log_searches`', '`extensions`', '`fields`', '`fields_categories`', '`fields_groups`', '`fields_values`', '`finder_filters`', '`finder_links`', '`finder_links_terms`', '`finder_logging`', '`finder_taxonomy`', '`finder_taxonomy_map`', '`finder_terms`', '`finder_terms_common`', '`finder_tokens`', '`finder_tokens_aggregate`', '`finder_types`', '`languages`', '`mail_templates`', '`menu`', '`menu_types`', '`messages`', '`messages_cfg`', '`modules`', '`modules_menu`', '`newsfeeds`', '`overrider`', '`postinstall_messages`', '`redirect_links`', '`schemas`', '`session`', '`tags`', '`template_overrides`', '`template_styles`', '`ucm_base`', '`ucm_content`', '`ucm_history`', '`update_sites`', '`update_sites_extensions`', '`updates`', '`user_keys`', '`user_notes`', '`user_profiles`', '`user_usergroup_map`', '`usergroups`', '`users`', '`utf8_conversion`', '`viewlevels`', '`workflow_associations`', '`workflow_stages`', '`workflow_transitions`', '`workflows`']"
