File Name,Table_Counts,Table_Names
Roundcube_2007101000_mod_sort.sql,6,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`']"
Roundcube_2008030300_mod_sort.sql,6,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`']"
Roundcube_2008040500_mod_sort.sql,6,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`']"
Roundcube_2008060900_mod_sort.sql,6,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`']"
Roundcube_2008092100_mod_sort.sql,6,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`']"
Roundcube_2009090400_mod_sort.sql,6,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`']"
Roundcube_2009103100_mod_sort.sql,8,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`', '`contactgroups`', '`contactgroupmembers`']"
Roundcube_2010042300_mod_sort.sql,8,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`', '`contactgroups`', '`contactgroupmembers`']"
Roundcube_2010100600_mod_sort.sql,8,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`', '`contactgroups`', '`contactgroupmembers`']"
Roundcube_2011011200_mod_sort.sql,8,"['`cache`', '`contacts`', '`identities`', '`messages`', '`session`', '`users`', '`contactgroups`', '`contactgroupmembers`']"
Roundcube_2011092800_mod_sort.sql,12,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2011111600_mod_sort.sql,12,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2011121400_mod_sort.sql,12,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2012080700_mod_sort.sql,12,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2013011000_mod_sort.sql,13,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2013042700_mod_sort.sql,13,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2013052500_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2013061000_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2014042900_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2015030800_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2015111100_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2016081200_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2016100900_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2016112200_mod_sort.sql,14,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`contactgroupmembers`']"
Roundcube_2018021600_mod_sort.sql,15,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`contactgroupmembers`']"
Roundcube_2018122300_mod_sort.sql,15,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`contactgroupmembers`']"
Roundcube_2019092900_mod_sort.sql,15,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`contactgroupmembers`']"
Roundcube_2020020100_mod_sort.sql,15,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`contactgroupmembers`']"
Roundcube_2020020101_mod_sort.sql,15,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`contactgroupmembers`']"
Roundcube_2020091000_mod_sort.sql,16,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`collected_addresses`', '`contactgroupmembers`']"
Roundcube_2020122900_mod_sort.sql,16,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`collected_addresses`', '`contactgroupmembers`']"
Roundcube_2021081000_mod_sort.sql,17,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`collected_addresses`', '`responses`', '`contactgroupmembers`']"
Roundcube_2021100300_mod_sort.sql,17,"['`cache`', '`contacts`', '`identities`', '`session`', '`users`', '`system`', '`cache_shared`', '`contactgroups`', '`cache_index`', '`cache_messages`', '`cache_thread`', '`dictionary`', '`searches`', '`filestore`', '`collected_addresses`', '`responses`', '`contactgroupmembers`']"
