Project_Name,File_Path,Version,Create_Table,Drop_Table,Add_Column,Drop_Column,Change_Column_Datatype,Rename_Table,Rename_Column,SMOs_Total,Commit_Count
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2008030300.sql,2008030300,0,0,0,0,0,0,0,0,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2008040500.sql,2008040500,0,0,0,0,6,0,0,6,2
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2008060900.sql,2008060900,0,0,0,0,0,0,0,0,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2008092100.sql,2008092100,0,0,0,1,1,0,0,2,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2009090400.sql,2009090400,0,0,0,0,1,0,0,1,2
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2009103100.sql,2009103100,2,0,1,0,0,0,0,3,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2010042300.sql,2010042300,0,0,0,0,1,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2010100600.sql,2010100600,0,0,0,0,1,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2011011200.sql,2011011200,0,0,1,0,1,0,0,2,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2011092800.sql,2011092800,5,1,0,0,2,0,0,8,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2011111600.sql,2011111600,0,0,0,0,1,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2011121400.sql,2011121400,0,0,0,0,10,0,0,10,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2012080700.sql,2012080700,0,0,0,2,0,0,0,2,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2013011000.sql,2013011000,1,0,0,0,0,0,0,1,2
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2013042700.sql,2013042700,0,0,0,0,0,0,0,0,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2013052500.sql,2013052500,1,0,0,0,0,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2013061000.sql,2013061000,0,0,5,3,0,0,0,8,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2014042900.sql,2014042900,0,0,0,0,1,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2015030800.sql,2015030800,0,0,0,0,1,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2015111100.sql,2015111100,0,0,2,0,0,0,0,2,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2016081200.sql,2016081200,0,0,0,1,0,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2016100900.sql,2016100900,0,0,0,0,1,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2016112200.sql,2016112200,2,2,1,0,0,0,0,5,2
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2018021600.sql,2018021600,1,0,0,0,0,0,0,1,3
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2018122300.sql,2018122300,0,0,1,0,0,0,0,1,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2019092900.sql,2019092900,0,0,0,0,2,0,0,2,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2020020100.sql,2020020100,0,0,0,0,2,0,0,2,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2020020101.sql,2020020101,0,0,0,0,6,0,0,6,6
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2020091000.sql,2020091000,1,0,0,0,0,0,0,1,2
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2020122900.sql,2020122900,0,0,0,0,0,0,0,0,2
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2021081000.sql,2021081000,1,0,0,0,0,0,0,1,2
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2021100300.sql,2021100300,0,0,0,0,0,0,0,0,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2022081200.sql,2022081200,0,0,0,0,0,0,0,0,1
Roundcube,Datasets/Roundcube/Input/Patch_Files/SQL/mysql/2022100100.sql,2022100100,1,0,0,0,0,0,0,1,1
