File_Path,File,Commit_Count
build/TruncateAuditTrail.sql,TruncateAuditTrail,1
sql/mysql/country_sql/default.sql,default,39
sql/mysql/country_sql/demo.sql,demo,34
sql/mysql/country_sql/weberpchina.sql,weberpchina,9
sql/mysql/upgrade2.7-2.8.sql,upgrade2.7-2.8,5
sql/mysql/upgrade2.8-2.9.sql,upgrade2.8-2.9,4
sql/mysql/upgrade2.9-2.9a.sql,upgrade2.9-2.9a,5
sql/mysql/upgrade2.9a-2.9b.sql,upgrade2.9a-2.9b,4
sql/mysql/upgrade3.00-3.01.sql,upgrade3.00-3.01,13
sql/mysql/upgrade3.01-3.02.sql,upgrade3.01-3.02,4
sql/mysql/upgrade3.02-3.03.sql,upgrade3.02-3.03,7
sql/mysql/upgrade3.03-3.04.sql,upgrade3.03-3.04,7
sql/mysql/upgrade3.04-3.05.sql,upgrade3.04-3.05,20
sql/mysql/upgrade3.05-3.06.sql,upgrade3.05-3.06,13
sql/mysql/upgrade3.06-3.07.sql,upgrade3.06-3.07,3
sql/mysql/upgrade3.07-3.08.sql,upgrade3.07-3.08,3
sql/mysql/upgrade3.08-3.09.sql,upgrade3.08-3.09,19
sql/mysql/upgrade3.09-3.10.sql,upgrade3.09-3.10,22
sql/mysql/upgrade3.10-3.11.sql,upgrade3.10-3.11,27
sql/mysql/upgrade3.11-3.11.1.sql,upgrade3.11-3.11.1,3
sql/mysql/upgrade3.11.1-4.00.sql,upgrade3.11.1-4.00,49
sql/mysql/upgrade4.03-4.04.sql,upgrade4.03-4.04,3
sql/mysql/upgrade4.04-4.04.1.sql,upgrade4.04-4.04.1,2
sql/mysql/upgrade4.04.1-4.04.4.sql,upgrade4.04.1-4.04.4,1
sql/mysql/upgrade4.04.4-4.04.5.sql,upgrade4.04.4-4.04.5,4
sql/mysql/upgrade4.04.5-4.05.sql,upgrade4.04.5-4.05,1
sql/mysql/upgrade4.05-4.06.sql,upgrade4.05-4.06,15
sql/mysql/upgrade4.06-4.07.sql,upgrade4.06-4.07,2
sql/mysql/upgrade4.07-4.08.sql,upgrade4.07-4.08,20
sql/mysql/upgrade4.08-4.09.sql,upgrade4.08-4.09,17
sql/mysql/upgrade4.09-4.10.sql,upgrade4.09-4.10,18
sql/mysql/upgrade4.10-4.11.sql,upgrade4.10-4.11,36
sql/mysql/upgrade4.11.1-4.11.2.sql,upgrade4.11.1-4.11.2,2
sql/mysql/upgrade4.11.2-4.11.3.sql,upgrade4.11.2-4.11.3,6
sql/mysql/upgrade4.11.3-4.11.4.sql,upgrade4.11.3-4.11.4,3
sql/mysql/upgrade4.11.4-4.12.sql,upgrade4.11.4-4.12,3
sql/mysql/upgrade4.12-4.12.1.sql,upgrade4.12-4.12.1,1
sql/mysql/upgrade4.12.1-4.12.2.sql,upgrade4.12.1-4.12.2,3
sql/mysql/upgrade4.12.2-4.12.3.sql,upgrade4.12.2-4.12.3,2
sql/mysql/upgrade4.12.3-4.13.sql,upgrade4.12.3-4.13,27
sql/mysql/upgrade4.13-4.13.1.sql,upgrade4.13-4.13.1,12
sql/mysql/upgrade4.13.1-4.14.sql,upgrade4.13.1-4.14,11
sql/mysql/upgrade4.14-4.14.1.sql,upgrade4.14-4.14.1,1
sql/mysql/upgrade4.14.1-4.15.sql,upgrade4.14.1-4.15,3
sql/mysql/upgrade4.15-4.15.1.sql,upgrade4.15-4.15.1,19
sql/mysql/upgrade4.15.1-4.15.2.sql,upgrade4.15.1-4.15.2,3
