Project_Name,File_Path,Version,Create_Table,Drop_Table,Add_Column,Drop_Column,Change_Column_Datatype,Rename_Table,Rename_Column,SMOs_Total,Commit_Count
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.00-3.01.sql,upgrade3.00-3.01,0,0,0,0,1,0,0,1,13
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.01-3.02.sql,upgrade3.01-3.02,7,0,2,1,0,1,6,17,4
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.02-3.03.sql,upgrade3.02-3.03,0,0,20,0,6,0,4,30,7
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.03-3.04.sql,upgrade3.03-3.04,0,0,0,2,1,0,0,3,7
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.04-3.05.sql,upgrade3.04-3.05,3,0,1,0,0,0,0,4,20
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.05-3.06.sql,upgrade3.05-3.06,3,1,3,0,1,0,0,8,13
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.06-3.07.sql,upgrade3.06-3.07,2,0,0,0,0,0,0,2,3
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.07-3.08.sql,upgrade3.07-3.08,0,0,3,0,0,0,0,3,3
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.08-3.09.sql,upgrade3.08-3.09,3,0,6,0,2,0,0,11,19
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.09-3.10.sql,upgrade3.09-3.10,7,0,9,3,3,0,0,22,22
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.10-3.11.sql,upgrade3.10-3.11,7,0,32,0,7,0,0,46,27
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.11-3.11.1.sql,upgrade3.11-3.11.1,0,0,0,0,0,0,0,0,3
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade3.11.1-4.00.sql,upgrade3.11.1-4.00,19,4,46,9,9,0,3,90,49
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.03-4.04.sql,upgrade4.03-4.04,0,0,0,0,0,0,0,0,3
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.04-4.04.1.sql,upgrade4.04-4.04.1,0,0,1,0,1,0,0,2,2
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.04.1-4.04.4.sql,upgrade4.04.1-4.04.4,0,0,1,0,0,0,0,1,1
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.04.4-4.04.5.sql,upgrade4.04.4-4.04.5,0,0,1,0,0,0,0,1,4
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.04.5-4.05.sql,upgrade4.04.5-4.05,0,0,0,0,0,0,0,0,1
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.05-4.06.sql,upgrade4.05-4.06,0,0,2,1,0,0,0,3,15
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.06-4.07.sql,upgrade4.06-4.07,3,0,1,0,0,0,0,4,2
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.07-4.08.sql,upgrade4.07-4.08,5,0,3,0,19,0,1,28,20
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.08-4.09.sql,upgrade4.08-4.09,1,0,2,0,5,0,0,8,17
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.09-4.10.sql,upgrade4.09-4.10,2,0,3,2,3,0,0,10,18
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.10-4.11.sql,upgrade4.10-4.11,6,0,8,0,31,0,1,46,36
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.11.1-4.11.2.sql,upgrade4.11.1-4.11.2,1,0,1,0,1,0,0,3,2
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.11.2-4.11.3.sql,upgrade4.11.2-4.11.3,1,0,1,0,3,0,0,5,6
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.11.3-4.11.4.sql,upgrade4.11.3-4.11.4,3,0,8,0,4,0,0,15,3
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.11.4-4.12.sql,upgrade4.11.4-4.12,5,0,4,0,1,0,0,10,3
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.12-4.12.1.sql,upgrade4.12-4.12.1,0,0,0,0,0,0,0,0,1
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.12.1-4.12.2.sql,upgrade4.12.1-4.12.2,1,0,0,0,1,0,0,2,3
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.12.2-4.12.3.sql,upgrade4.12.2-4.12.3,0,0,2,0,0,0,0,2,2
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.12.3-4.13.sql,upgrade4.12.3-4.13,3,0,4,0,2,0,0,9,27
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.13-4.13.1.sql,upgrade4.13-4.13.1,0,0,5,0,2,0,0,7,12
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.13.1-4.14.sql,upgrade4.13.1-4.14,1,0,4,0,0,0,0,5,11
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.14-4.14.1.sql,upgrade4.14-4.14.1,0,0,0,0,0,0,0,0,1
webERP,Datasets/Weberp/Input/Patch_Files/sql/mysql/upgrade4.14.1-4.15.sql,upgrade4.14.1-4.15,5,0,11,0,3,0,0,19,3
