"File names","CT num","DT num","RT num","AC num","DC num","CC num","RC num",SMO's_Total
"joomla_4.0.0-2018-02-24_mod.sql to joomla_4.0.0-2018-03-05_mod.sql",0,0,0,0,0,1,0,1
"joomla_4.0.0-2018-03-05_mod.sql to joomla_4.0.0-2018-05-15_mod.sql",4,0,0,0,0,0,0,4
"joomla_4.0.0-2018-05-15_mod.sql to joomla_4.0.0-2018-07-19_mod.sql",1,0,0,0,0,1,0,2
"joomla_4.0.0-2018-07-19_mod.sql to joomla_4.0.0-2018-07-29_mod.sql",2,16,0,7,2,41,0,68
"joomla_4.0.0-2018-07-29_mod.sql to joomla_4.0.0-2018-08-29_mod.sql",0,0,0,0,0,8,0,8
"joomla_4.0.0-2018-08-29_mod.sql to joomla_4.0.0-2019-03-09_mod.sql",1,0,0,0,0,0,0,1
"joomla_4.0.0-2019-03-09_mod.sql to joomla_4.0.0-2019-03-30_mod.sql",0,0,0,2,0,1,0,3
"joomla_4.0.0-2019-03-30_mod.sql to joomla_4.0.0-2019-04-15_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2019-04-15_mod.sql to joomla_4.0.0-2019-04-22_mod.sql",0,0,0,0,0,5,0,5
"joomla_4.0.0-2019-04-22_mod.sql to joomla_4.0.0-2019-05-20_mod.sql",0,0,0,1,0,0,0,1
"joomla_4.0.0-2019-05-20_mod.sql to joomla_4.0.0-2019-06-29_mod.sql",0,0,0,0,0,12,0,12
"joomla_4.0.0-2019-06-29_mod.sql to joomla_4.0.0-2019-07-13_mod.sql",1,0,0,0,0,0,0,1
"joomla_4.0.0-2019-07-13_mod.sql to joomla_4.0.0-2019-09-13_mod.sql",0,0,0,4,3,0,0,7
"joomla_4.0.0-2019-09-13_mod.sql to joomla_4.0.0-2019-09-22_mod.sql",0,0,0,0,0,6,0,6
"joomla_4.0.0-2019-09-22_mod.sql to joomla_4.0.0-2019-10-06_mod.sql",0,0,0,0,0,23,0,23
"joomla_4.0.0-2019-10-06_mod.sql to joomla_4.0.0-2019-10-17_mod.sql",0,0,0,0,0,3,0,3
"joomla_4.0.0-2019-10-17_mod.sql to joomla_4.0.0-2020-02-02_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2020-02-02_mod.sql to joomla_4.0.0-2020-03-10_mod.sql",0,0,0,0,0,8,0,8
"joomla_4.0.0-2020-03-10_mod.sql to joomla_4.0.0-2020-03-25_mod.sql",0,0,0,1,0,1,0,2
"joomla_4.0.0-2020-03-25_mod.sql to joomla_4.0.0-2020-05-29_mod.sql",1,1,0,0,0,19,0,21
"joomla_4.0.0-2020-05-29_mod.sql to joomla_4.0.0-2020-09-27_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2020-09-27_mod.sql to joomla_4.0.0-2020-12-20_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2020-12-20_mod.sql to joomla_4.0.0-2021-04-22_mod.sql",0,0,0,2,0,0,0,2
"joomla_4.0.0-2021-04-22_mod.sql to joomla_4.0.0-2021-04-27_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2021-04-27_mod.sql to joomla_4.0.0-2021-05-30_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2021-05-30_mod.sql to joomla_4.0.0-2021-06-04_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2021-06-04_mod.sql to joomla_4.0.0-2021-08-13_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2021-08-13_mod.sql to joomla_4.0.0-2021-08-17_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.0-2021-08-17_mod.sql to joomla_4.0.3-2021-09-04_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.3-2021-09-04_mod.sql to joomla_4.0.3-2021-09-05_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.3-2021-09-05_mod.sql to joomla_4.0.6-2021-12-23_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.0.6-2021-12-23_mod.sql to joomla_4.1.0-2021-11-20_mod.sql",1,0,0,0,0,0,0,1
"joomla_4.1.0-2021-11-20_mod.sql to joomla_4.1.0-2021-11-28_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.0-2021-11-28_mod.sql to joomla_4.1.0-2021-12-29_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.0-2021-12-29_mod.sql to joomla_4.1.0-2022-01-08_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.0-2022-01-08_mod.sql to joomla_4.1.0-2022-01-19_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.0-2022-01-19_mod.sql to joomla_4.1.0-2022-01-24_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.0-2022-01-24_mod.sql to joomla_4.1.1-2022-02-20_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.1-2022-02-20_mod.sql to joomla_4.1.3-2022-04-07_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.3-2022-04-07_mod.sql to joomla_4.1.3-2022-04-08_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.1.3-2022-04-08_mod.sql to joomla_4.2.0-2022-05-15_mod.sql",1,0,0,0,0,0,0,1
"joomla_4.2.0-2022-05-15_mod.sql to joomla_4.2.0-2022-06-15_mod.sql",0,0,0,0,0,1,0,1
"joomla_4.2.0-2022-06-15_mod.sql to joomla_4.2.0-2022-06-19_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.2.0-2022-06-19_mod.sql to joomla_4.2.0-2022-06-22_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.2.0-2022-06-22_mod.sql to joomla_4.2.0-2022-07-07_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.2.0-2022-07-07_mod.sql to joomla_4.2.1-2022-08-23_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.2.1-2022-08-23_mod.sql to joomla_4.2.3-2022-09-07_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.2.3-2022-09-07_mod.sql to joomla_4.2.7-2022-12-29_mod.sql",0,0,0,0,0,0,0,0
"joomla_4.2.7-2022-12-29_mod.sql to joomla_4.2.9-2023-03-07_mod.sql",0,0,0,0,0,0,0,0
