"File names","CT num","DT num","RT num","AC num","DC num","CC num","RC num",SMO's_Total
"Roundcube_2007101000_mod_sort.sql to Roundcube_2008030300_mod_sort.sql",0,0,0,0,0,0,0,0
"Roundcube_2008030300_mod_sort.sql to Roundcube_2008040500_mod_sort.sql",0,0,0,0,0,3,0,3
"Roundcube_2008040500_mod_sort.sql to Roundcube_2008060900_mod_sort.sql",0,0,0,0,0,0,0,0
"Roundcube_2008060900_mod_sort.sql to Roundcube_2008092100_mod_sort.sql",0,0,0,0,1,1,0,2
"Roundcube_2008092100_mod_sort.sql to Roundcube_2009090400_mod_sort.sql",0,0,0,0,0,1,0,1
"Roundcube_2009090400_mod_sort.sql to Roundcube_2009103100_mod_sort.sql",2,0,0,1,0,0,0,3
"Roundcube_2009103100_mod_sort.sql to Roundcube_2010042300_mod_sort.sql",0,0,0,0,0,1,0,1
"Roundcube_2010042300_mod_sort.sql to Roundcube_2010100600_mod_sort.sql",0,0,0,0,0,1,0,1
"Roundcube_2010100600_mod_sort.sql to Roundcube_2011011200_mod_sort.sql",0,0,0,1,0,1,0,2
"Roundcube_2011011200_mod_sort.sql to Roundcube_2011092800_mod_sort.sql",5,1,0,0,0,2,0,8
"Roundcube_2011092800_mod_sort.sql to Roundcube_2011111600_mod_sort.sql",0,0,0,0,0,1,0,1
"Roundcube_2011111600_mod_sort.sql to Roundcube_2011121400_mod_sort.sql",0,0,0,0,0,10,0,10
"Roundcube_2011121400_mod_sort.sql to Roundcube_2012080700_mod_sort.sql",0,0,0,0,2,0,0,2
"Roundcube_2012080700_mod_sort.sql to Roundcube_2013011000_mod_sort.sql",1,0,0,0,0,0,0,1
"Roundcube_2013011000_mod_sort.sql to Roundcube_2013042700_mod_sort.sql",0,0,0,0,0,0,0,0
"Roundcube_2013042700_mod_sort.sql to Roundcube_2013052500_mod_sort.sql",1,0,0,0,0,0,0,1
"Roundcube_2013052500_mod_sort.sql to Roundcube_2013061000_mod_sort.sql",0,0,0,5,3,0,0,8
"Roundcube_2013061000_mod_sort.sql to Roundcube_2014042900_mod_sort.sql",0,0,0,0,0,1,0,1
"Roundcube_2014042900_mod_sort.sql to Roundcube_2015030800_mod_sort.sql",0,0,0,0,0,1,0,1
"Roundcube_2015030800_mod_sort.sql to Roundcube_2015111100_mod_sort.sql",0,0,0,2,0,0,0,2
"Roundcube_2015111100_mod_sort.sql to Roundcube_2016081200_mod_sort.sql",0,0,0,0,1,0,0,1
"Roundcube_2016081200_mod_sort.sql to Roundcube_2016100900_mod_sort.sql",0,0,0,0,0,1,0,1
"Roundcube_2016100900_mod_sort.sql to Roundcube_2016112200_mod_sort.sql",0,0,0,1,2,0,0,3
"Roundcube_2016112200_mod_sort.sql to Roundcube_2018021600_mod_sort.sql",1,0,0,0,0,0,0,1
"Roundcube_2018021600_mod_sort.sql to Roundcube_2018122300_mod_sort.sql",0,0,0,1,0,0,0,1
"Roundcube_2018122300_mod_sort.sql to Roundcube_2019092900_mod_sort.sql",0,0,0,0,0,2,0,2
"Roundcube_2019092900_mod_sort.sql to Roundcube_2020020100_mod_sort.sql",0,0,0,0,0,2,0,2
"Roundcube_2020020100_mod_sort.sql to Roundcube_2020020101_mod_sort.sql",0,0,0,0,0,33,0,33
"Roundcube_2020020101_mod_sort.sql to Roundcube_2020091000_mod_sort.sql",1,0,0,0,0,0,0,1
"Roundcube_2020091000_mod_sort.sql to Roundcube_2020122900_mod_sort.sql",0,0,0,0,0,0,0,0
"Roundcube_2020122900_mod_sort.sql to Roundcube_2021081000_mod_sort.sql",1,0,0,0,0,0,0,1
"Roundcube_2021081000_mod_sort.sql to Roundcube_2021100300_mod_sort.sql",0,0,0,0,0,0,0,0
"Roundcube_2021100300_mod_sort.sql to Roundcube_2022081200_mod_sort.sql",0,0,0,0,0,0,0,0
"Roundcube_2022081200_mod_sort.sql to Roundcube_2022100100_mod_sort.sql",1,0,0,0,0,0,0,1
